"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4"
"1",2,"CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",71,100,100,NA
"2",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,100,NA
"3",2,"CABO DELGADO","CIDADE DE PEMBA","CS Chuiba","VN93iwE183q","supervisao999","central","MISAU","supervisao999","nao_ajuda",67,100,100,NA
"4",2,"CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,80,80,NA
"5",2,"CABO DELGADO","NAMUNO","CS Nicuita","BkVI1OHXHx0","supervisao999","provincial","SPS","02","nao_ajuda",45,20,20,NA
"6",8,"INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",89,20,20,77
"7",8,"INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",90,100,100,92
"8",8,"INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",90,100,100,88
"9",6,"MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",100,20,20,54
"10",6,"MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",90,20,20,71
"11",6,"MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",80,0,0,38
"12",6,"MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,86
"13",3,"NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",82,100,100,94
"14",3,"NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",92,100,100,93
"15",3,"NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",38,80,80,27
"16",3,"NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",80,60,60,86
"17",7,"SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,60,60,94
"18",7,"SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",67,80,80,88
"19",7,"SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",67,0,0,65
"20",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",100,40,40,88
"21",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",100,80,80,92
"22",5,"TETE","CHANGARA","CS Chipembere","IszmV9QEbDo","supervisao999","central","MISAU","supervisao999","ECHO",100,80,80,76
