"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:groupDS9:domainScore9","groupForm:groupDS10:domainScore10","groupForm:groupDS11:domainScore11","groupForm:groupDS12:domainScore12","groupForm:groupDS13:domainScore13","groupForm:groupDS14:domainScore14","groupForm:groupDS15:domainScore15","groupForm:groupDS16:domainScore16","groupForm:group17:domainScore17"
"1","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",50,71,0,40,80,0,100,83,100,100,80,67,100,100,0,77
"2","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","Supervisao999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",100,100,84,100,40,58,63,100,100,100,80,33,100,100,33,77
"4","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",50,100,100,100,80,0,100,100,100,100,70,67,67,100,100,92
"5","06","MANICA","BÁRUE","CS Catandica","cQGzy7ez571","supervisao999","central","MISAU","supervisao999","ECHO",50,86,89,70,100,77,75,33,100,100,80,67,100,100,67,80
"6","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",50,43,95,90,60,81,88,0,100,100,70,67,100,100,67,78
"7","06","MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",50,43,0,70,20,0,88,0,57,60,60,67,100,100,0,55
"8","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",50,100,84,90,100,74,63,83,100,100,70,67,100,100,100,83
"9","03","NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,86,100,70,0,77,63,100,100,83,90,33,100,100,100,81
"10","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,71,100,90,100,100,100,100,100,83,80,67,100,100,100,94
"11","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",100,86,84,100,0,84,100,100,75,71,80,33,33,100,100,80
"12","03","NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",0,86,100,70,0,58,100,100,88,86,70,33,67,100,67,73
"13","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",50,57,0,20,40,0,100,50,63,100,60,67,67,100,100,62
"14","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",100,57,63,60,20,65,100,33,13,100,80,67,100,100,67,64
"15","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","ECHO",50,29,0,40,20,0,50,17,43,20,70,33,33,100,0,39
