"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:group_domain2:subgroupDomain2:domainScore2","groupForm:group_domain3:subgroupDomain3:domainScore3"
"1",2,"CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central",NA,"supervisao999","FUNDACAO ARIEL",31,20
"2",2,"CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central",NA,"supervisao999",NA,40,85
"3",2,"CABO DELGADO","CIDADE DE PEMBA","CS Chuiba","VN93iwE183q","supervisao999","central",NA,"supervisao999","nao_ajuda",0,40
"4",2,"CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central",NA,"supervisao999","FUNDACAO ARIEL",73,75
"5",8,"INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central",NA,"supervisao999","EGPAF",67,50
"6",8,"INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central",NA,"supervisao999","EGPAF",50,50
"7",8,"INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central",NA,"supervisao999","EGPAF",50,50
"8",6,"MANICA","CIDADE DE CHIMOIO","CS Eduardo Mondlane","KMnM7UdzVQC","supervisao999","central",NA,"supervisao999","ECHO",95,100
"9",6,"MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central",NA,"supervisao999","ECHO",95,65
"10",3,"NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central",NA,"supervisao999","ICAP",33,69
"11",3,"NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central",NA,"supervisao999","ICAP",25,40
"12",7,"SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central",NA,"supervisao999","ECHO",93,100
"13",7,"SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",75,100
"14",5,"TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central",NA,"supervisao999","ECHO",45,90
"15",5,"TETE","CHANGARA","CS Chipembere","IszmV9QEbDo","supervisao999","central",NA,"supervisao999","nao_ajuda",0,30
"16",5,"TETE","MOATIZE","CS Moatize","HutmsTbIiVr","supervisao999","central",NA,"supervisao999","ECHO",100,100
