"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:groupDS1:domainScore1","groupForm:groupDS2:domainScore2","groupForm:groupDS3:domainScore3","groupForm:groupDS4:domainScore4","groupForm:groupDS5:domainScore5","groupForm:groupDS6:domainScore6","groupForm:groupDS7:domainScore7","groupForm:groupDS8:domainScore8","groupForm:groupDS9:domainScore9","groupForm:groupDS10:domainScore10","groupForm:groupDS11:domainScore11","groupForm:groupDS12:domainScore12","groupForm:groupDS13:domainScore13"
"1","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",100,79,40,100,100,100,100,0,0,100,100,0,66
"2","08","INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,0,0,33,0,25,22
"3","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",100,50,0,50,0,100,50,0,50,0,0,0,31
"4","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,93,100,50,100,100,0,0,0,100,100,25,74
"5","06","MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",100,71,100,100,100,100,100,0,100,100,100,50,82
"6","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",100,93,100,100,100,100,100,100,0,0,0,0,69
"7","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,100,60,100,100,100,50,100,0,100,100,75,85
"8","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,71,80,100,100,100,100,100,100,100,100,0,77
"9","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ITECH",0,0,0,0,0,0,0,0,0,0,0,0,0
"10","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",0,0,0,0,0,0,0,0,0,100,100,0,56
"11","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",100,86,80,100,33,100,100,100,100,0,0,0,84
"12","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",0,0,0,0,0,0,0,0,0,0,100,0,22
"13","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",100,71,100,0,33,100,0,0,0,0,0,0,58
"14","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","nao_ajuda",0,0,0,0,0,0,0,0,0,33,0,0,11
"15","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","ECHO",100,29,40,50,0,100,0,0,0,0,0,0,30
