"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","groupNivelSupervisao:QSupLevel","groupNivelSupervisao:supervisor","QSupCode","groupForm:groupGI:QGIPartner","groupForm:group0:groupDS1:domainScore1","groupForm:group0:groupDS2:domainScore2","groupForm:group0:groupDS3:domainScore3","groupForm:group0:groupDS4:domainScore4","groupForm:group0:groupDS5:domainScore5","groupForm:group0:groupDS6:domainScore6","groupForm:group0:groupDS7:domainScore7","groupForm:group0:groupDS8:domainScore8","groupForm:group0:groupDS9:domainScore9","groupForm:group0:groupDS10:domainScore10","groupForm:group0:groupDS11:domainScore11","groupForm:group0:groupDS12:domainScore12","groupForm:group0:groupDS13:domainScore13","groupForm:group0:groupDS14:domainScore14","groupForm:group0:groupDS15:domainScore15","groupForm:group0:groupDS16:domainScore16","groupForm:group0:groupDS17:domainScore17"
"1","02","CABO DELGADO","ANCUABE","CS Ancuabe","s8e95DectKU","supervisao999","central","MISAU","supervisao999","CHASS",100,100,100,89,100,50,100,100,100,100,90,100,100,100,100,100,95
"2","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,40,70
"3","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,60
"4","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",100,93,100,94,100,0,0,0,0,0,0,0,0,0,0,0,95
"5","08","INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,40,70
"6","08","INHAMBANE","MAXIXE","CS Chicuque","XAGdOEhSp0S","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,100,0,0,100,50,0,0,0,0,0,0,55
"7","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,60,80
"8","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,20,67
"9","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,93,100,89,100,0,0,0,0,0,0,0,0,0,0,0,93
"10","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,93,100,89,100,0,0,0,0,0,0,0,0,0,0,0,93
